class,subject,topic,link,assignment
9,English,Beehive - Chapter 2B -  The Sound of Music,https://cms.schooltimes.ca/lessons/c9-eng-bee-chapter-2-the-sound-of-music-part2/,
9,English,Beehive - Chapter 3 -  The Little Girl,https://cms.schooltimes.ca/lessons/c9-eng-bee-chapter3-the-little-girl/,
9,English,Beehive - Chapter 4 -  A Truly Beautiful Mind,https://cms.schooltimes.ca/lessons/c9-eng-bee-chapter4-a-truly-beautiful-mind/,
9,English,Beehive - Chapter 5 -  The Snake and the Mirror,https://cms.schooltimes.ca/lessons/c9-eng-bee-chapter5-the-snake-and-the-mirror/,
9,English,Beehive - Poem 1 - The Road Not Taken,https://cms.schooltimes.ca/lessons/c9-eng-bee-poem-1-the-road-not-taken/,
9,English,Beehive - Poem 2 - Wind,https://cms.schooltimes.ca/lessons/c9-eng-bee-poem2-wind/,
9,English,Beehive - Poem 3 - Rain on the Roof,https://cms.schooltimes.ca/lessons/c9-eng-bee-poem3-rain-on-the-roof/,
9,English,Beehive - Poem 4 -The Lake Isle of Innisfree,https://cms.schooltimes.ca/lessons/c9-eng-bee-poem4-the-lake-isle-of-innisfree/,
9,English,Beehive - Poem 5 - A Legend of the Northland,https://cms.schooltimes.ca/lessons/c9-eng-bee-poem5-a-legend-of-the-northland/,
9,English,Moments - Chapter 1 -  The Lost Child,https://cms.schooltimes.ca/lessons/c9-eng-mom-chapter1-the-lost-child/,
9,English,Moments - Chapter 2 -  The Adventures of Toto,https://cms.schooltimes.ca/lessons/c9-eng-mmt-chapter2-the-adventures-of-toto/,
9,English,Moments - Chapter 3 -  Iswaran the Storyteller,https://cms.schooltimes.ca/lessons/c9-eng-mmt-chapter3-iswaran-the-storyteller/,
9,English,Moments - Chapter 4 -  In the Kingdom of Fools,https://cms.schooltimes.ca/lessons/c9-eng-mmt-chapter4-in-the-kingdom-of-fools/,
10,History,Chapter 1 -  The Rise of Nationalism in Europe,https://cms.schooltimes.ca/lessons/c10-his-chapter-1-the-rise-of-nationalism-in-europe/,
10,History,Chapter 2 -  The Nationalist Movement in Indo – China,https://cms.schooltimes.ca/lessons/c10-his-chapter-2-the-nationalist-movement-in-indo-china/,
10,History,Chapter 3 -  Nationalism in India,https://cms.schooltimes.ca/lessons/c10-his-chapter-3-nationalism-in-india/,
10,History,Chapter 4 -  The Making of a Global World,https://cms.schooltimes.ca/lessons/c10-his-chapter-4-the-making-of-a-global-world/,
10,Geography,Chapter 1 -  Resources and Development,https://cms.schooltimes.ca/lessons/c10-geo-chapter-1-resources-and-development/,
10,Geography,Chapter 2 -  Forest and Wildlife Resources,https://cms.schooltimes.ca/lessons/c10-geo-chapter-2-forests-and-wildlife-resources/,
10,Geography,Chapter 3 -  Water Resources,https://cms.schooltimes.ca/lessons/c10-geo-chapter-3-water-resources/,
10,Civics,Chapter 1 -  Power Sharing,https://cms.schooltimes.ca/lessons/c10-ssc-civ-chapter-1-power-sharing/,
10,Civics,Chapter 2 -  Federalism,https://cms.schooltimes.ca/lessons/c10-ssc-civ-chapter-2-federalism/,
10,Civics,Chapter 3 -  Democracy and Diversity,https://cms.schooltimes.ca/lessons/c10-ssc-civ-chapter-3-democracy-and-diversity/,
10,Science,Chapter 1 -  Chemical Reactions and Equations,https://cms.schooltimes.ca/lessons/c10-sci-1-chemical-reactions-and-equations/,
10,Science,"Chapter 2 -  Acids, Bases and Salts",http://cms.schooltimes.ca/lessons/c10-sci-2-acids-bases-and-salts/,
10,Science,Chapter 3 -  Metals and Non-Metals,http://cms.schooltimes.ca/lessons/c10-sci-3-metals-and-nonmetals/,
10,Science,Chapter 4 -  Carbon and its Compounds,https://cms.schooltimes.ca/lessons/c10-sci-4-carbon-and-its-compounds/,
10,Science,Chapter 5 -  Periodic Classification of Elements,http://cms.schooltimes.ca/lessons/c10-sci-5-periodic-classifiication-of-elements/,
10,Science,Chapter 6 -  Life Processes,https://cms.schooltimes.ca/lessons/c10-sci-chapter6-life-processes/,
10,Science,Chapter 7 -  Control and Coordination,https://cms.schooltimes.ca/lessons/c10-sci-chapter7-control-and-coordination/,
10,Science,Chapter 8 -  How do Organisms Reproduce?,https://cms.schooltimes.ca/lessons/c10-sci-chapter8-how-do-organisms-reproduce/,
10,Mathematics,Chapter 1 -  Real Numbers,http://cms.schooltimes.ca/lessons/c10-mat-1-real-numbers/,
10,Mathematics,Chapter 2 -  Polynomials,http://cms.schooltimes.ca/lessons/c10-mat-2-polynomials/,
10,Mathematics,Chapter 3 -  Pair of Linear Equations in Two Variables,http://cms.schooltimes.ca/lessons/c10-mat-3-pair-of-linear-equation-in-two-variables/,
10,Mathematics,Chapter 4 -  Quadratic Equations,http://cms.schooltimes.ca/lessons/c10-mat-4-quadratic-equations/,
10,Mathematics,Chapter 5 -  Arithmetic Progression,http://cms.schooltimes.ca/lessons/c10-mat-5-arithmetic-progression/,
10,Mathematics,Chapter 6 -  Triangles,http://cms.schooltimes.ca/lessons/c10-mat-6-triangles/,
10,English,First Flight - Chapter 1 - A Letter to God,https://cms.schooltimes.ca/lessons/c10-eng-ffl-chapter1-a-letter-to-god/,
10,English,First Flight - Chapter 2 - Nelson Mandela : Long Walk to Freedom,https://cms.schooltimes.ca/lessons/c10-eng-ffl-chapter-2-nelson-mandela-long-walk-to-freedom/,
10,English,First Flight - Chapter 3A - Two Stories about Flying,https://cms.schooltimes.ca/lessons/c10-eng-ffl-chapter3-two-stories-about-flying-part1-his-first-flight/,
10,English,First Flight - Chapter 3B - Two Stories about Flying,https://cms.schooltimes.ca/lessons/c10-eng-ffl-chapter-3-two-stories-about-flying-part-2-the-black-areoplane/,
10,English,First Flight - Chapter 4 - From the Diary of Anne Frank,https://cms.schooltimes.ca/lessons/c10-eng-ffl-chapter4-from-the-diary-of-anne-frank/,
10,English,First Flight - Poem 1 - Dust of snow,https://cms.schooltimes.ca/lessons/c10-eng-ffl-poem1-dust-of-snow/,
10,English,First Flight - Poem 2 - Fire and ice,https://cms.schooltimes.ca/lessons/c10-eng-ffl-poem2-fire-and-ice/,
10,English,First Flight - Poem 3 - A tiger in the zoo,https://cms.schooltimes.ca/lessons/c10-eng-ffl-poem3-a-tiger-in-the-zoo/,
10,English,First Flight - Poem 4 - How to tell wild animals,https://cms.schooltimes.ca/lessons/c10-eng-ffl-poem4-how-to-tell-wild-animals/,
10,English,First Flight - Poem 5 - The Ball First Flight - Poem,https://cms.schooltimes.ca/lessons/c10-eng-ffl-poem5-the-ball-poem/,
10,English,First Flight - Poem 6 - Amanda!,https://cms.schooltimes.ca/lessons/c10-eng-ffl-poem6-amanda/,
10,English,Footprints without feet - Chapter 1 - A Triumph of Surgery,https://cms.schooltimes.ca/lessons/c10-eng-fwt-chapter1-a-triumph-of-surgery-2/,
10,English,Footprints without feet - Chapter 2 - The Thief’s Story,https://cms.schooltimes.ca/lessons/c10-eng-fwt-chapter2-the-thiefs-story/,
10,English,Footprints without feet - Chapter 3 - The Midnight Visitor,https://cms.schooltimes.ca/lessons/c10-eng-fwt-chapter3-the-midnight-visitor/,
